year,month,day,hour,minute,value,tides
2024,1,7,3,6,0.11,l
2024,1,7,18,40,0.85,h
2024,1,8,3,42,-0.08,l
2024,1,8,19,7,0.99,h
2024,1,9,4,17,-0.24,l
2024,1,9,19,43,1.13,h
2024,1,10,4,53,-0.38,l
2024,1,10,20,25,1.25,h
2024,1,11,5,33,-0.48,l
2024,1,11,21,12,1.34,h
2024,1,12,6,15,-0.53,l
2024,1,12,22,3,1.37,h
2024,1,13,6,57,-0.51,l
2024,1,13,22,56,1.34,h
2024,1,14,7,41,-0.45,l
2024,1,14,23,50,1.26,h
2024,1,15,8,22,-0.34,l
2024,1,16,0,44,1.11,h
2024,1,16,8,58,-0.2,l
2024,1,16,15,39,0.31,h
2024,1,16,17,58,0.29,l
2024,1,17,1,38,0.9,h
2024,1,17,9,27,-0.06,l
2024,1,17,16,0,0.43,h
2024,1,17,20,8,0.32,l
2024,1,18,2,33,0.66,h
2024,1,18,9,41,0.07,l
2024,1,18,16,32,0.57,h
2024,1,18,22,33,0.28,l
2024,1,19,3,40,0.42,h
2024,1,19,9,30,0.17,l
2024,1,19,17,10,0.7,h
2024,1,20,1,30,0.14,l
2024,1,20,5,57,0.2,h
2024,1,20,8,6,0.19,l
2024,1,20,17,51,0.83,h
2024,1,21,3,12,-0.04,l
2024,1,21,18,33,0.94,h
2024,1,22,4,2,-0.2,l
2024,1,22,19,15,1.03,h
2024,1,23,4,36,-0.3,l
2024,1,23,19,57,1.11,h
2024,1,24,5,9,-0.36,l
2024,1,24,20,41,1.16,h
2024,1,25,5,40,-0.38,l
2024,1,25,21,24,1.18,h
2024,1,26,6,13,-0.36,l
2024,1,26,22,9,1.18,h
2024,1,27,6,45,-0.32,l
2024,1,27,22,51,1.15,h
2024,1,28,7,17,-0.24,l
2024,1,28,23,32,1.08,h
2024,1,29,7,46,-0.16,l
2024,1,30,0,10,0.98,h
2024,1,30,8,10,-0.07,l
2024,1,30,14,18,0.31,h
2024,1,30,16,47,0.28,l
2024,1,31,0,45,0.85,h
2024,1,31,8,24,0.02,l
2024,1,31,14,27,0.39,h
2024,1,31,18,4,0.32,l
2024,2,1,1,19,0.7,h
2024,2,1,8,26,0.09,l
2024,2,1,14,45,0.49,h
2024,2,1,20,23,0.34,l
2024,2,2,1,54,0.54,h
2024,2,2,8,17,0.15,l
2024,2,2,15,11,0.59,h
2024,2,2,22,44,0.28,l
2024,2,3,2,36,0.36,h
2024,2,3,7,57,0.18,l
2024,2,3,15,44,0.69,h
2024,2,4,0,48,0.15,l
2024,2,4,4,16,0.19,h
2024,2,4,6,34,0.18,l
2024,2,4,16,26,0.8,h
2024,2,5,2,20,-0.01,l
2024,2,5,17,17,0.92,h
2024,2,6,3,11,-0.18,l
2024,2,6,18,14,1.05,h
2024,2,7,3,52,-0.32,l
2024,2,7,19,11,1.17,h
2024,2,8,4,32,-0.42,l
2024,2,8,20,9,1.26,h
2024,2,9,5,12,-0.47,l
2024,2,9,21,9,1.32,h
2024,2,10,5,51,-0.46,l
2024,2,10,22,8,1.31,h
2024,2,11,6,30,-0.38,l
2024,2,11,13,10,0.21,h
2024,2,11,14,54,0.19,l
2024,2,11,23,5,1.24,h
2024,2,12,7,5,-0.26,l
2024,2,12,13,9,0.28,h
2024,2,12,16,26,0.17,l
2024,2,13,0,0,1.1,h
2024,2,13,7,34,-0.11,l
2024,2,13,13,24,0.39,h
2024,2,13,17,49,0.16,l
2024,2,14,0,51,0.91,h
2024,2,14,7,54,0.04,l
2024,2,14,13,48,0.53,h
2024,2,14,19,19,0.15,l
2024,2,15,1,44,0.68,h
2024,2,15,8,0,0.16,l
2024,2,15,14,21,0.66,h
2024,2,15,20,56,0.13,l
2024,2,16,2,42,0.44,h
2024,2,16,7,41,0.22,l
2024,2,16,15,1,0.77,h
2024,2,16,22,58,0.08,l
2024,2,17,4,17,0.23,h
2024,2,17,6,26,0.21,l
2024,2,17,15,46,0.86,h
2024,2,18,1,14,-0.02,l
2024,2,18,16,39,0.93,h
2024,2,19,2,46,-0.14,l
2024,2,19,17,39,0.97,h
2024,2,20,3,36,-0.23,l
2024,2,20,18,38,1.01,h
2024,2,21,4,10,-0.27,l
2024,2,21,19,35,1.05,h
2024,2,22,4,41,-0.28,l
2024,2,22,20,29,1.08,h
2024,2,23,5,11,-0.26,l
2024,2,23,21,19,1.08,h
2024,2,24,5,40,-0.21,l
2024,2,24,22,7,1.07,h
2024,2,25,6,7,-0.13,l
2024,2,25,12,17,0.3,h
2024,2,26,14,51,0.26,l
2024,2,26,22,51,1.02,h
2024,2,27,6,49,0.05,l
2024,2,27,12,24,0.44,h
2024,2,27,17,2,0.22,l
2024,2,28,0,9,0.82,h
2024,2,28,6,54,0.14,l
2024,2,28,12,39,0.53,h
2024,2,28,18,9,0.22,l
2024,2,29,0,45,0.69,h
2024,2,29,6,45,0.2,l
2024,2,29,12,58,0.62,h
2024,2,29,19,27,0.2,l
2024,3,1,1,22,0.55,h
2024,3,1,6,34,0.24,l
2024,3,1,13,20,0.71,h
2024,3,1,20,50,0.16,l
2024,3,2,2,5,0.4,h
2024,3,2,6,22,0.25,l
2024,3,2,13,48,0.8,h
2024,3,2,22,17,0.1,l
2024,3,3,3,15,0.26,h
2024,3,3,5,34,0.24,l
2024,3,3,14,23,0.88,h
2024,3,3,23,54,0.01,l
2024,3,4,15,12,0.95,h
2024,3,5,1,24,-0.12,l
2024,3,5,16,18,1.02,h
2024,3,6,2,29,-0.24,l
2024,3,6,17,37,1.09,h
2024,3,7,3,18,-0.32,l
2024,3,7,18,52,1.16,h
2024,3,8,4,1,-0.36,l
2024,3,8,20,2,1.21,h
2024,3,9,4,39,-0.33,l
2024,3,9,21,9,1.2,h
2024,3,10,5,15,-0.25,l
2024,3,10,11,28,0.32,h
2024,3,10,14,44,0.22,l
2024,3,10,22,13,1.14,h
2024,3,11,5,47,-0.11,l
2024,3,11,11,34,0.42,h
2024,3,11,16,8,0.14,l
2024,3,11,23,13,1.02,h
2024,3,12,6,12,0.04,l
2024,3,12,11,51,0.56,h
2024,3,12,17,24,0.06,l
2024,3,13,0,9,0.85,h
2024,3,13,6,26,0.18,l
2024,3,13,12,15,0.71,h
2024,3,13,18,39,0.01,l
2024,3,14,1,4,0.65,h
2024,3,14,6,24,0.29,l
2024,3,14,12,45,0.84,h
2024,3,14,19,55,-0.03,l
2024,3,15,2,6,0.45,h
2024,3,15,5,53,0.33,l
2024,3,15,13,19,0.94,h
2024,3,15,21,19,-0.05,l
2024,3,16,13,57,0.99,h
2024,3,16,22,57,-0.09,l
2024,3,17,14,41,1.01,h
2024,3,18,0,33,-0.13,l
2024,3,18,15,36,1,h
2024,3,19,1,49,-0.17,l
2024,3,19,16,50,0.98,h
2024,3,20,2,42,-0.19,l
2024,3,20,18,3,0.97,h
2024,3,21,3,23,-0.18,l
2024,3,21,19,11,0.97,h
2024,3,22,3,57,-0.14,l
2024,3,22,20,13,0.96,h
2024,3,23,4,26,-0.08,l
2024,3,23,11,16,0.4,h
2024,3,23,13,26,0.38,l
2024,3,23,21,9,0.94,h
2024,3,24,4,51,0.01,l
2024,3,24,10,53,0.44,h
2024,3,24,15,2,0.31,l
2024,3,24,22,0,0.89,h
2024,3,25,5,11,0.1,l
2024,3,25,10,53,0.52,h
2024,3,25,16,8,0.24,l
2024,3,25,22,47,0.83,h
2024,3,26,5,20,0.2,l
2024,3,26,11,4,0.62,h
2024,3,26,17,6,0.18,l
2024,3,26,23,31,0.74,h
2024,3,27,5,15,0.27,l
2024,3,27,11,21,0.71,h
2024,3,27,18,1,0.12,l
2024,3,28,0,14,0.63,h
2024,3,28,5,3,0.32,l
2024,3,28,11,39,0.81,h
2024,3,28,18,55,0.07,l
2024,3,29,0,57,0.51,h
2024,3,29,4,57,0.34,l
2024,3,29,11,59,0.89,h
2024,3,29,19,51,0.02,l
2024,3,30,1,49,0.4,h
2024,3,30,4,42,0.34,l
2024,3,30,12,21,0.96,h
2024,3,30,20,51,-0.02,l
2024,4,1,13,33,1.06,h
2024,4,1,23,24,-0.14,l
2024,4,2,14,28,1.08,h
2024,4,3,0,43,-0.2,l
2024,4,3,15,45,1.08,h
2024,4,4,1,48,-0.25,l
2024,4,4,17,18,1.09,h
2024,4,5,2,39,-0.25,l
2024,4,5,18,42,1.08,h
2024,4,6,3,19,-0.2,l
2024,4,6,10,33,0.41,h
2024,4,6,12,13,0.4,l
2024,4,6,19,58,1.05,h
2024,4,7,3,54,-0.1,l
2024,4,7,10,8,0.47,h
2024,4,7,14,19,0.29,l
2024,4,7,21,12,0.98,h
2024,4,8,4,22,0.03,l
2024,4,8,10,15,0.59,h
2024,4,8,15,43,0.14,l
2024,4,8,22,22,0.87,h
2024,4,9,4,43,0.18,l
2024,4,9,10,32,0.74,h
2024,4,9,16,54,0.01,l
2024,4,9,23,27,0.72,l
2024,4,10,4,51,0.92,h
2024,4,10,10,55,0.9,h
2024,4,10,18,1,-0.09,l
2024,4,11,0,34,0.57,h
2024,4,11,4,36,0.4,l
2024,4,11,11,24,1.03,h
2024,4,11,19,6,-0.16,l
2024,4,12,1,24,0.42,h
2024,4,12,3,48,0.4,l
2024,4,12,11,56,1.12,h
2024,4,12,20,14,-0.19,l
2024,4,13,12,31,1.15,h
2024,4,13,21,26,-0.2,l
2024,4,14,13,10,1.15,h
2024,4,14,22,40,-0.19,l
2024,4,15,13,54,1.1,h
2024,4,15,23,51,-0.18,l
2024,4,16,14,50,1.04,h
2024,4,17,0,54,-0.15,l
2024,4,17,16,6,0.97,h
2024,4,18,1,44,-0.11,l
2024,4,18,17,27,0.91,h
2024,4,19,2,25,-0.06,l
2024,4,19,18,41,0.85,h
2024,4,20,2,58,0.02,l
2024,4,20,10,9,0.53,h
2024,4,20,3,33,0.48,l
2024,4,20,19,51,0.8,h
2024,4,21,3,21,0.11,l
2024,4,21,9,45,0.58,h
2024,4,21,15,0,0.37,l
2024,4,21,20,55,0.74,h
2024,4,22,3,34,0.21,l
2024,4,22,9,42,0.66,h
2024,4,22,16,0,0.25,l
2024,4,22,22,53,0.68,h
2024,4,23,3,33,0.3,l
2024,4,23,9,52,0.77,h
2024,4,23,16,51,0.14,l
2024,4,23,22,47,0.61,h
2024,4,24,3,22,0.36,l
2024,4,24,10,9,0.88,h
2024,4,24,17,37,0.04,l
2024,4,24,23,39,0.53,h
2024,4,25,3,16,0.39,l
2024,4,25,10,28,0.98,h
2024,4,25,18,22,-0.04,l
2024,4,26,0,37,0.45,h
2024,4,26,3,11,0.4,l
2024,4,26,10,49,1.06,h
2024,4,26,19,7,-0.1,l
2024,4,27,11,11,1.13,h
2024,4,27,19,55,-0.15,l
2024,4,28,11,39,1.18,h
2024,4,28,20,49,-0.19,l
2024,4,29,12,18,1.2,h
2024,4,29,21,51,-0.21,l
2024,4,30,13,6,1.19,h
2024,4,30,23,1,-0.23,l
2024,5,1,14,10,1.15,h
2024,5,2,0,9,-0.22,l
2024,5,2,15,34,1.08,h
2024,5,3,1,6,0.18,l
2024,5,3,17,8,1,h
2024,5,4,1,51,-0.1,l
2024,5,4,9,21,0.52,h
2024,5,4,11,27,0.51,l
2024,5,4,18,34,0.9,h
2024,5,5,2,26,0.02,l
2024,5,5,8,56,0.59,h
2024,5,5,13,48,0.36,l
2024,5,5,20,0,0.8,h
2024,5,6,2,51,0.16,l
2024,5,6,9,2,0.73,h
2024,5,6,15,12,0.18,l
2024,5,6,21,27,0.68,h
2024,5,7,3,3,0.29,l
2024,5,7,9,19,0.89,h
2024,5,7,16,21,0,l
2024,5,7,22,48,0.57,h
2024,5,8,2,59,0.4,l
2024,5,8,9,42,1.04,h
2024,5,8,17,22,-0.14,l
2024,5,9,0,14,0.47,h
2024,5,9,2,27,0.44,l
2024,5,9,10,11,1.17,h
2024,5,9,18,21,-0.24,l
2024,5,10,10,42,1.26,h
2024,5,10,19,20,-0.28,l
2024,5,11,11,18,1.29,h
2024,5,11,20,18,-0.29,l
2024,5,12,11,56,1.28,h
2024,5,12,21,15,-0.26,l
2024,5,13,12,38,1.23,h
2024,5,13,22,12,-0.22,l
2024,5,14,13,24,1.15,h
2024,5,14,23,7,-0.16,l
2024,5,15,14,18,1.05,h
2024,5,15,23,57,-0.09,l
2024,5,16,15,24,0.94,h
2024,5,17,0,38,-0.01,l
2024,5,17,16,44,0.82,h
2024,5,18,1,10,0.08,l
2024,5,18,9,14,0.61,h
2024,5,18,12,45,0.56,l
2024,5,18,18,3,0.71,h
2024,5,19,1,31,0.18,l
2024,5,19,8,40,0.66,h
2024,5,19,14,32,0.43,l
2024,5,19,19,27,0.61,h
2024,5,20,1,39,0.27,l
2024,5,20,8,34,0.76,h
2024,5,20,15,34,0.29,l
2024,5,20,20,48,0.53,h
2024,5,21,1,31,0.35,l
2024,5,21,8,42,0.87,h
2024,5,21,16,21,0.14,l
2024,5,21,22,0,0.47,h
2024,5,22,1,21,0.39,l
2024,5,22,8,57,0.99,h
2024,5,22,17,3,0.01,l
2024,5,22,23,13,0.43,h
2024,5,23,1,14,0.41,l
2024,5,23,9,18,1.1,h
2024,5,23,17,43,-0.1,l
2024,5,24,9,42,1.2,h
2024,5,24,18,23,-0.18,l
2024,5,25,10,10,1.27,h
2024,5,25,19,6,-0.24,l
2024,5,26,10,43,1.31,h
2024,5,26,19,51,-0.27,l
2024,5,27,11,22,1.33,h
2024,5,27,20,42,-0.28,l
2024,5,28,12,10,1.31,h
2024,5,28,21,38,-0.26,l
2024,5,29,13,7,1.25,h
2024,5,29,22,35,-0.21,l
2024,5,30,14,13,1.14,h
2024,5,30,23,29,-0.14,l
2024,5,31,15,30,1,h
2024,6,1,0,14,-0.03,l
2024,6,1,7,55,0.58,h
2024,6,1,10,15,0.56,l
2024,6,1,16,57,0.83,h
2024,6,2,0,46,0.11,l
2024,6,2,7,36,0.67,h
2024,6,2,13,0,0.43,l
2024,6,2,18,31,0.66,h
2024,6,3,1,3,0.25,l
2024,6,3,7,46,0.81,h
2024,6,3,14,36,0.24,l
2024,6,3,20,24,0.52,h
2024,6,4,0,59,0.36,l
2024,6,4,8,6,0.97,h
2024,6,4,15,45,0.04,l
2024,6,4,22,22,0.44,h
2024,6,5,0,30,0.42,l
2024,6,5,8,32,1.12,h
2024,6,5,16,44,-0.13,l
2024,6,6,9,3,1.25,h
2024,6,6,17,33,-0.24,l
2024,6,7,9,36,1.33,h
2024,6,7,18,29,-0.3,l
2024,6,8,10,14,1.37,h
2024,6,8,19,18,0.31,l
2024,6,9,10,54,1.37,h
2024,6,9,20,5,-0.28,l
2024,6,10,11,36,1.32,h
2024,6,10,20,51,0.22,l
2024,6,11,12,21,1.25,h
2024,6,11,21,35,-0.15,l
2024,6,12,13,7,1.15,h
2024,6,12,22,15,-0.07,l
2024,6,13,13,54,1.03,h
2024,6,13,22,50,0.02,l
2024,6,14,14,45,0.89,h
2024,6,14,23,16,0.12,l
2024,6,15,15,48,0.73,h
2024,6,15,23,32,0.22,l
2024,6,16,7,19,0.69,h
2024,6,16,13,9,0.51,l
2024,6,16,17,15,0.58,h
2024,6,16,23,34,0.3,l
2024,6,17,7,12,0.79,h
2024,6,17,14,45,0.35,l
2024,6,17,19,10,0.45,h
2024,6,17,23,23,0.36,l
2024,6,18,7,21,0.91,h
2024,6,18,15,39,0.19,l
2024,6,19,7,39,1.03,h
2024,6,19,16,21,0.04,l
2024,6,20,8,3,1.16,h
2024,6,20,16,57,-0.09,l
2024,6,21,8,33,1.27,h
2024,6,21,17,35,-0.19,l
2024,6,22,9,9,1.35,h
2024,6,22,18,15,-0.27,l
2024,6,23,9,49,1.41,h
2024,6,23,18,57,-0.3,l
2024,6,24,10,35,1.43,h
2024,6,24,19,41,0.3,l
2024,6,25,11,25,1.42,h
2024,6,25,20,27,-0.25,l
2024,6,26,12,20,1.35,h
2024,6,26,21,12,-0.18,l
2024,6,27,13,18,1.23,h
2024,6,27,21,54,0.7,l
2024,6,28,14,18,1.6,h
2024,6,28,22,30,0.6,h
2024,6,29,5,33,0.59,h
2024,6,29,8,55,0.53,l
2024,6,29,15,25,0.85,h
2024,6,29,22,54,0.2,l
2024,6,30,5,48,0.71,h
2024,6,30,11,31,0.46,l
2024,6,30,16,50,0.63,h
2024,6,30,22,57,0.32,l
2024,7,1,6,13,0.86,h
2024,7,1,13,46,0.29,l
2024,7,1,19,5,0.44,h
2024,7,1,22,24,0.39,l
2024,7,2,6,42,1.1,h
2024,7,2,15,12,0.1,l
2024,7,3,7,16,1.15,h
2024,7,3,16,11,-0.06,l
2024,7,4,7,54,1.27,h
2024,7,4,16,59,0.18,l
