12,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
date_astro,HI1_TIME,HI1,HI1_DAY,LO1_TIME,LO1,LO1_DAY,HI2_TIME,HI2,HI2_DAY,LO2_TIME,LO2,LO2_DAY,HI3_TIME,HI3,HI3_DAY,LO3_TIME,LO3,LO3_DAY
1-Jan,-,-,-,12:14AM,0.37,TODAY,4:51AM,0.49,TODAY,11:21AM,0.23,TODAY,6:39PM,0.73,TODAY,-,-,-
2-Jan,-,-,-,2:07AM,0.21,TODAY,7:47AM,0.33,TODAY,11:09AM,0.28,TODAY,7:10PM,0.85,TODAY,-,-,-
3-Jan,-,-,-,3:30AM,0.04,TODAY,7:42PM,0.95,TODAY,-,-,-,-,-,-,-,-,-
4-Jan,-,-,-,4:25AM,-0.1,TODAY,8:14PM,1.02,TODAY,-,-,-,-,-,-,-,-,-
5-Jan,-,-,-,5:06AM,-0.21,TODAY,8:48PM,1.08,TODAY,-,-,-,-,-,-,-,-,-
6-Jan,-,-,-,6:14AM,-0.3,TODAY,9:59PM,1.14,TODAY,-,-,-,-,-,-,-,-,-
7-Jan,-,-,-,6:46AM,-0.29,TODAY,10:37PM,1.14,TODAY,-,-,-,-,-,-,-,-,-
8-Jan,-,-,-,7:18AM,-0.25,TODAY,11:16PM,1.12,TODAY,-,-,-,-,-,-,-,-,-
9-Jan,-,-,-,7:51AM,-0.2,TODAY,11:56PM,1.08,TODAY,-,-,-,-,-,-,-,-,-
10-Jan,-,-,-,8:21AM,-0.14,-,-,-,-,-,-,-,-,-,-,-,-,-
11-Jan,12:33AM,1.02,TODAY,8:49AM,-0.08,-,-,-,-,-,-,-,-,-,-,-,-,-
12-Jan,1:11AM,0.92,TODAY,9:13AM,-0.01,-,-,-,-,-,-,-,-,-,-,-,-,-
13-Jan,1:48AM,0.8,TODAY,9:31AM,0.07,TODAY,4:19PM,0.47,TODAY,7:47PM,0.42,TODAY,-,-,-,-,-,-
14-Jan,2:30AM,0.64,TODAY,9:42AM,0.14,TODAY,4:43PM,0.58,TODAY,11:05PM,0.37,TODAY,-,-,-,-,-,-
15-Jan,3:30AM,0.46,TODAY,9:46AM,0.2,TODAY,5:12PM,0.7,TODAY,-,-,-,-,-,-,-,-,-
16-Jan,-,-,-,1:15AM,0.21,TODAY,6:11AM,0.29,TODAY,9:37AM,0.25,TODAY,5:49PM,0.84,TODAY,-,-,-
17-Jan,-,-,-,2:42AM,0.02,TODAY,6:34PM,0.99,TODAY,-,-,-,-,-,-,-,-,-
18-Jan,-,-,-,3:42AM,-0.17,TODAY,7:24PM,1.13,TODAY,-,-,-,-,-,-,-,-,-
19-Jan,-,-,-,4:32AM,-0.33,TODAY,8:15PM,1.26,TODAY,-,-,-,-,-,-,-,-,-
20-Jan,-,-,-,5:18AM,-0.43,TODAY,9:09PM,1.35,TODAY,-,-,-,-,-,-,-,-,-
21-Jan,-,-,-,6:03AM,-0.46,TODAY,10:03PM,1.39,TODAY,-,-,-,-,-,-,-,-,-
22-Jan,-,-,-,6:48AM,-0.42,TODAY,10:59PM,1.37,TODAY,-,-,-,-,-,-,-,-,-
23-Jan,-,-,-,7:30AM,-0.34,TODAY,11:55PM,1.29,TODAY,-,-,-,-,-,-,-,-,-
24-Jan,-,-,-,8:08AM,-0.21,TODAY,2:29PM,0.28,TODAY,4:16PM,0.26,-,-,-,-,-,-,-
25-Jan,12:48AM,1.15,TODAY,8:42AM,-0.07,TODAY,2:46PM,0.37,TODAY,5:42PM,0.3,-,-,-,-,-,-,-
26-Jan,1:37AM,0.96,TODAY,9:09AM,0.07,TODAY,3:12PM,0.49,TODAY,7:39PM,0.34,-,-,-,-,-,-,-
27-Jan,2:23AM,0.74,TODAY,9:25AM,0.18,TODAY,3:44PM,0.6,TODAY,9:59PM,0.33,-,-,-,-,-,-,-
28-Jan,2:23 AM,0.74,TODAY,9:25 AM,0.18,TODAY,3:44 PM,0.6,TODAY,9:59 PM,0.33,-,-,-,-,-,-,-
29-Jan,3:12 AM,0.51,TODAY,9:22 AM,0.26,TODAY,4:24 PM,0.71,TODAY,-,-,-,-,-,-,-,-,-
30-Jan,-,-,-,12:24 AM,0.24,TODAY,5:18 AM,0.29,TODAY,8:11 AM,0.28,TODAY,5:12 PM,0.8,TODAY,-,-,-
31-Jan,-,-,-,3:00 AM,0.09,TODAY,6:05 PM,0.88,TODAY,-,-,-,-,-,-,-,-,-
1-Feb,-,-,-,3:59 AM,-0.06,TODAY,6:56 PM,0.94,TODAY,-,-,-,-,-,-,-,-,-
2-Feb,-,-,-,4:34 AM,-0.16,TODAY,7:43 PM,0.99,TODAY,-,-,-,-,-,-,-,-,-
3-Feb,-,-,-,5:03 AM,-0.22,TODAY,8:27 PM,1.04,TODAY,-,-,-,-,-,-,-,-,-
4-Feb,-,-,-,5:30 AM,-0.24,TODAY,9:11 PM,1.08,TODAY,-,-,-,-,-,-,-,-,-
5-Feb,-,-,-,5:57 AM,-0.23,TODAY,9:53 PM,1.1,TODAY,-,-,-,-,-,-,-,-,-
6-Feb,-,-,-,6:23 AM,-0.2,TODAY,10:34 PM,1.1,TODAY,-,-,-,-,-,-,-,-,-
7-Feb,-,-,-,6:48 AM,-0.15,TODAY,1:13 PM,0.24,TODAY,2:33 PM,0.23,TODAY,11:15 PM,1.08,TODAY,-,-,-
8-Feb,-,-,-,7:11 AM,-0.08,TODAY,1:12 PM,0.29,TODAY,3:42 PM,0.24,TODAY,11:52 PM,1.02,TODAY,-,-,-
9-Feb,-,-,-,7:31 AM,-0.01,TODAY,1:27 PM,0.35,TODAY,4:42 PM,0.26,TODAY,-,-,-,-,-,-
10-Feb,12:29 AM,0.93,TODAY,7:47 AM,0.06,TODAY,1:45 PM,0.44,TODAY,5:48 PM,0.27,TODAY,-,-,-,-,-,-
11-Feb,1:05 AM,0.81,TODAY,7:58 AM,0.13,TODAY,2:05 PM,0.53,TODAY,7:13 PM,0.28,TODAY,-,-,-,-,-,-
12-Feb,1:43 AM,0.65,TODAY,8:01 AM,0.19,TODAY,2:27 PM,0.63,TODAY,8:55 PM,0.25,TODAY,-,-,-,-,-,-
13-Feb,2:28 AM,0.48,TODAY,7:56 AM,0.23,TODAY,2:56 PM,0.74,TODAY,10:47 PM,0.18,TODAY,-,-,-,-,-,-
14-Feb,3:51 AM,0.3,TODAY,7:32 AM,0.25,TODAY,3:35 PM,0.85,TODAY,-,-,-,-,-,-,-,-,-
15-Feb,-,-,-,1:02 AM,0.06,TODAY,4:31 PM,0.95,TODAY,-,-,-,-,-,-,-,-,-
16-Feb,-,-,-,2:45 AM,-0.11,TODAY,5:43 PM,1.05,TODAY,-,-,-,-,-,-,-,-,-
17-Feb,-,-,-,3:40 AM,-0.25,TODAY,6:56 PM,1.15,TODAY,-,-,-,-,-,-,-,-,-
18-Feb,-,-,-,4:24 AM,-0.34,TODAY,8:03 PM,1.23,TODAY,-,-,-,-,-,-,-,-,-
19-Feb,-,-,-,5:05 AM,-0.37,TODAY,9:06 PM,1.28,TODAY,-,-,-,-,-,-,-,-,-
20-Feb,-,-,-,5:42 AM,-0.33,TODAY,10:08 PM,1.29,TODAY,-,-,-,-,-,-,-,-,-
21-Feb,-,-,-,6:17 AM,-0.24,TODAY,12:28 PM,0.29,TODAY,2:54 PM,0.23,TODAY,11:06 PM,1.23,TODAY,-,-,-
22-Feb,-,-,-,6:48 AM,-0.12,TODAY,12:38 PM,0.36,TODAY,4:14 PM,0.2,TODAY,11:59 PM,1.12,TODAY,-,-,-
23-Feb,-,-,-,7:15 AM,0.02,TODAY,12:55 PM,0.47,TODAY,5:33 PM,0.18,TODAY,-,-,-,-,-,-
24-Feb,12:48 AM,0.94,TODAY,7:36 AM,0.15,TODAY,1:17 PM,0.59,TODAY,6:57 PM,0.17,TODAY,-,-,-,-,-,-
25-Feb,1:34 AM,0.73,TODAY,7:44 AM,0.25,TODAY,1:43 PM,0.7,TODAY,8:24 PM,0.16,TODAY,-,-,-,-,-,-
26-Feb,2:23 AM,0.51,TODAY,7:30 AM,0.31,TODAY,2:14 PM,0.79,TODAY,10:00 PM,0.14,TODAY,-,-,-,-,-,-
27-Feb,3:38 AM,0.31,TODAY,6:11 AM,0.29,TODAY,2:51 PM,0.84,TODAY,-,-,-,-,-,-,-,-,-
28-Feb,-,-,-,12:13 AM,0.08,TODAY,3:38 PM,0.87,TODAY,-,-,-,-,-,-,-,-,-
1-Mar,-,-,-,2:32 AM,-0.03,TODAY,4:43 PM,0.88,TODAY,-,-,-,-,-,-,-,-,-
2-Mar,-,-,-,3:26 AM,-0.11,TODAY,5:57 PM,0.9,TODAY,-,-,-,-,-,-,-,-,-
3-Mar,-,-,-,3:59 AM,-0.16,TODAY,7:03 PM,0.92,TODAY,-,-,-,-,-,-,-,-,-
4-Mar,-,-,-,4:27 AM,-0.18,TODAY,8:00 PM,0.96,TODAY,-,-,-,-,-,-,-,-,-
5-Mar,-,-,-,4:51 AM,-0.16,TODAY,8:53 PM,0.98,TODAY,-,-,-,-,-,-,-,-,-
6-Mar,-,-,-,5:15 AM,-0.13,TODAY,12:15 PM,0.3,TODAY,1:00 PM,0.3,TODAY,9:42 PM,0.99,TODAY,-,-,-
7-Mar,-,-,-,5:36 AM,-0.07,TODAY,11:42 AM,0.33,TODAY,2:36 PM,0.27,TODAY,10:27 PM,0.98,TODAY,-,-,-
8-Mar,-,-,-,5:54 AM,0,TODAY,11:45 AM,0.39,TODAY,3:41 PM,0.23,TODAY,11:09 PM,0.93,TODAY,-,-,-
9-Mar,-,-,-,6:10 AM,0.07,TODAY,11:57 AM,0.48,TODAY,4:42 PM,0.19,TODAY,11:51 PM,0.85,TODAY,-,-,-
10-Mar,-,-,-,6:21 AM,0.15,TODAY,12:12 PM,0.57,TODAY,5:45 PM,0.15,TODAY,-,-,-,-,-,-
11-Mar,12:31 AM,0.74,TODAY,6:27 AM,0.22,TODAY,12:29 PM,0.67,TODAY,6:49 PM,0.1,TODAY,-,-,-,-,-,-
12-Mar,1:14 AM,0.6,TODAY,6:26 AM,0.26,TODAY,12:48 PM,0.77,TODAY,7:57 PM,0.06,TODAY,-,-,-,-,-,-
13-Mar,2:05 AM,0.45,TODAY,6:16 AM,0.28,TODAY,1:15 PM,0.87,TODAY,9:10 PM,0.01,TODAY,-,-,-,-,-,-
14-Mar,3:26 AM,0.3,TODAY,5:50 AM,0.27,TODAY,1:49 PM,0.94,TODAY,10:41 PM,-0.04,TODAY,-,-,-,-,-,-
15-Mar,2:36 PM,1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16-Mar,-,-,-,12:43 AM,-0.11,TODAY,3:43 PM,1.03,TODAY,-,-,-,-,-,-,-,-,-
17-Mar,-,-,-,2:15 AM,-0.2,TODAY,5:11 PM,1.06,TODAY,-,-,-,-,-,-,-,-,-
18-Mar,-,-,-,3:10 AM,-0.26,TODAY,6:36 PM,1.1,TODAY,-,-,-,-,-,-,-,-,-
19-Mar,-,-,-,3:51 AM,-0.26,TODAY,7:54 PM,1.12,TODAY,-,-,-,-,-,-,-,-,-
20-Mar,-,-,-,4:27 AM,-0.22,TODAY,11:17 AM,0.35,TODAY,12:56 PM,0.34,TODAY,9:06 PM,1.12,TODAY,-,-,-
21-Mar,-,-,-,4:57 AM,-0.13,TODAY,11:03 AM,0.41,TODAY,2:41 PM,0.26,TODAY,10:10 PM,1.07,TODAY,-,-,-
22-Mar,-,-,-,5:24 AM,-0.01,TODAY,11:12 AM,0.51,TODAY,12:16 AM,0,TODAY,11:07 PM,0.97,TODAY,-,-,-
23-Mar,-,-,-,5:45 AM,0.12,TODAY,11:28 AM,0.63,TODAY,5:11 PM,0.08,TODAY,-,-,-,-,-,-
24-Mar,12:00 AM,0.83,TODAY,5:59 AM,0.24,TODAY,11:48 AM,0.75,TODAY,6:18 PM,0.02,TODAY,-,-,-,-,-,-
25-Mar,12:51 AM,0.65,TODAY,6:00 AM,0.32,TODAY,12:12 PM,0.86,TODAY,7:24 PM,-0.03,TODAY,-,-,-,-,-,-
26-Mar,1:45 AM,0.47,TODAY,5:38 AM,0.35,TODAY,12:40 PM,0.93,TODAY,8:33 PM,-0.05,TODAY,-,-,-,-,-,-
27-Mar,3:23 AM,0.31,TODAY,4:14 AM,0.31,TODAY,1:12 PM,0.96,TODAY,9:51 PM,-0.06,TODAY,-,-,-,-,-,-
28-Mar,1:48 PM,0.96,TODAY,11:30 PM,-0.07,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
29-Mar,2:36 PM,0.93,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30-Mar,-,-,-,1:11 AM,-0.09,TODAY,3:39 PM,0.9,TODAY,-,-,-,-,-,-,-,-,-
31-Mar,-,-,-,2:13 AM,-0.11,TODAY,4:57 PM,0.87,TODAY,-,-,-,-,-,-,-,-,-
1-Apr,-,-,-,2:53 AM,-0.11,TODAY,6:11 PM,0.86,TODAY,-,-,-,-,-,-,-,-,-
2-Apr,-,-,-,3:23 AM,.-0.09,TODAY,7:19 PM,0.85,TODAY,-,-,-,-,-,-,-,-,-
3-Apr,-,-,-,3:48 AM,-0.05,TODAY,11:00 AM,0.41,TODAY,12:53 PM,0.39,TODAY,8:24 PM,0.85,TODAY,-,-,-
4-Apr,-,-,-,4:09 AM,0,TODAY,10:31 AM,0.45,TODAY,2:30 PM,0.32,TODAY,9:24 PM,0.83,TODAY,-,-,-
5-Apr,-,-,-,4:27 AM,0.08,TODAY,10:32 AM,0.53,TODAY,3:34 PM,0.23,TODAY,10:18 PM,0.79,TODAY,-,-,-
6-Apr,-,-,-,4:39 AM,0.16,TODAY,10:41 AM,0.63,TODAY,4:30 PM,0.13,TODAY,11:06 PM,0.72,TODAY,-,-,-
7-Apr,-,-,-,4:47 AM,0.24,TODAY,10:54 AM,0.73,TODAY,5:24 PM,0.03,TODAY,11:54 PM,0.63,TODAY,-,-,-
8-Apr,-,-,-,4:48 AM,0.3,TODAY,11:11 AM,0.85,TODAY,6:18 PM,-0.06,TODAY,-,-,-,-,-,-
9-Apr,12:45 AM,0.52,TODAY,4:43 AM,0.33,TODAY,11:32 AM,0.95,TODAY,7:14 PM,-0.13,TODAY,-,-,-,-,-,-
10-Apr,1:45 AM,0.4,TODAY,4:33 AM,0.33,TODAY,11:59 AM,1.04,TODAY,8:13 PM,-0.17,TODAY,-,-,-,-,-,-
11-Apr,12:33 PM,1.1,TODAY,9:21 PM,-0.19,-,-,-,-,-,-,-,-,-,-,-,-,-
12-Apr,1:15 PM,1.12,TODAY,10:45 PM,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-
13-Apr,2:10 PM,1.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14-Apr,-,-,-,12:19 AM,-0.21,TODAY,3:26 PM,1.08,TODAY,-,-,-,-,-,-,-,-,-
15-Apr,-,-,-,1:32 AM,-0.21,TODAY,4:54 PM,1.04,TODAY,-,-,-,-,-,-,-,-,-
16-Apr,-,-,-,2:21 AM,-0.18,TODAY,6:19 PM,1,TODAY,-,-,-,-,-,-,-,-,-
17-Apr,-,-,-,2:58 AM,-0.11,TODAY,10:05 AM,0.47,TODAY,12:29 PM,0.44,TODAY,7:44 PM,0.95,TODAY,-,-,-
18-Apr,-,-,-,3:27 AM,-0.01,TODAY,9:49 AM,0.55,TODAY,2:21 PM,0.32,TODAY,9:04 PM,0.88,TODAY,-,-,-
19-Apr,-,-,-,3:51 AM,0.11,TODAY,9:57 AM,0.67,TODAY,3:35 PM,0.18,TODAY,10:12 PM,0.79,TODAY,-,-,-
20-Apr,-,-,-,4:08 AM,0.23,TODAY,10:14 AM,0.8,TODAY,4:39 PM,0.05,TODAY,11:11 PM,0.67,TODAY,-,-,-
21-Apr,-,-,-,4:15 AM,0.32,TODAY,10:34 AM,0.92,TODAY,5:38 PM,-0.06,TODAY,-,-,-,-,-,-
22-Apr,12:08 AM,0.54,TODAY,4:06 AM,0.38,TODAY,10:58 AM,1.02,TODAY,6:36 PM,-0.14,TODAY,-,-,-,-,-,-
23-Apr,1:15 AM,0.41,TODAY,3:36 AM,0.38,TODAY,11:26 AM,1.08,TODAY,7:34 PM,-0.18,TODAY,-,-,-,-,-,-
24-Apr,11:57 AM,1.11,TODAY,8:34 PM,-0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-Apr,12:33 PM,1.1,TODAY,9:38 PM,-0.17,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
26-Apr,1:14 PM,1.06,TODAY,10:48 PM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
27-Apr,2:03 PM,1,TODAY,11:57 PM,-0.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
28-Apr,3:03 PM,0.94,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29-Apr,-,-,-,12:52 AM,-0.08,TODAY,4:09 PM,0.66,TODAY,-,-,-,-,-,-,-,-,-
30-Apr,-,-,-,1:33 AM,-0.04,TODAY,5:18 PM,0.83,TODAY,-,-,-,-,-,-,-,-,-
1-May,-,-,-,2:04 AM,0.01,TODAY,10:24 AM,0.51,TODAY,11:52 AM,0.51,TODAY,6:29 PM,0.77,TODAY,-,-,-
2-May,-,-,-,2:28 AM,0.08,TODAY,9:25 AM,0.57,TODAY,2:00 PM,0.42,TODAY,7:50 PM,0.71,TODAY,-,-,-
3-May,-,-,-,2:45 AM,0.15,TODAY,9:22 AM,0.65,TODAY,3:05 PM,0.29,TODAY,9:08 PM,0.66,TODAY,-,-,-
4-May,-,-,-,2:57 AM,0.23,TODAY,9:30 AM,0.76,TODAY,3:58 PM,0.14,TODAY,10:12 PM,0.6,TODAY,-,-,-
5-May,-,-,-,3:01 AM,0.31,TODAY,9:43 AM,0.89,TODAY,4:49 PM,0,TODAY,11:11 PM,0.53,TODAY,-,-,-
6-May,-,-,-,3:00 AM,0.36,TODAY,10:01 AM,1.01,TODAY,5:39 PM,-0.13,TODAY,-,-,-,-,-,-
7-May,12:11 AM,0.45,TODAY,2:54 AM,0.38,TODAY,10:25 AM,1.13,TODAY,6:31 PM,-0.22,TODAY,-,-,-,-,-,-
8-May,1:33 AM,0.37,TODAY,2:33 AM,0.36,TODAY,10:56 AM,1.22,TODAY,7:26 PM,-0.28,TODAY,-,-,-,-,-,-
9-May,11:33 AM,1.27,TODAY,8:25 PM,-0.3,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-May,12:16 PM,1.28,TODAY,9:00 PM,-0.28,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-May,1:09 PM,1.25,TODAY,10:43 PM,0.24,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
12-May,2:13 PM,1.19,TODAY,11:49 PM,-0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
13-May,3:27 PM,1.1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14-May,-,-,-,12:42 AM,-0.1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
15-May,-,-,-,1:21 AM,0,TODAY,8:56 AM,0.57,TODAY,11:39 AM,0.54,TODAY,6:03 PM,0.87,TODAY,-,-,-
16-May,-,-,-,1:50 AM,0.11,TODAY,8:36 AM,0.67,TODAY,1:44 PM,0.41,TODAY,7:39 PM,0.75,TODAY,-,-,-
17-May,-,-,-,2:11 AM,0.22,TODAY,8:46 AM,0.8,TODAY,3:00 PM,0.25,TODAY,9:10 PM,0.64,TODAY,-,-,-
18-May,-,-,-,2:22 AM,0.32,TODAY,9:04 AM,0.94,TODAY,4:03 PM,0.1,TODAY,10:23 PM,0.55,TODAY,-,-,-
19-May,-,-,-,2:21 AM,0.39,TODAY,9:27 AM,1.06,TODAY,5:02 PM,-0.04,TODAY,11:34 PM,0.45,TODAY,-,-,-
20-May,-,-,-,2:03 AM,0.41,TODAY,9:54 AM,1.15,TODAY,5:57 PM,-0.13,TODAY,TODAY,TODAY,TODAY,-,-,-
21-May,10:23 AM,1.21,TODAY,6:49 PM,-0.19,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-May,10:56 AM,1.24,TODAY,7:40 PM,-0.21,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-May,12:33 AM,1.23,TODAY,8:30 PM,-0.19,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
24-May,12:13 PM,1.2,TODAY,9:21 PM,-0.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-May,12:58 PM,1.15,TODAY,10:12 PM,-0.1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
26-May,1:47 PM,1.09,TODAY,11:00 PM,-0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
27-May,2:39 PM,1.01,TODAY,11:41 PM,0.02,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
28-May,3:31 PM,0.92,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29-May,-,-,-,12:13 AM,0.08,TODAY,4:29 PM,0.82,TODAY,TODAY,TODAY,TODAY,TODAY,TODAY,TODAY,-,-,-
30-May,-,-,-,12:38 AM,0.15,TODAY,8:16 AM,0.65,TODAY,12:49 PM,0.55,TODAY,5:39 PM,0.7,TODAY,-,-,-
31-May,-,-,-,12:55 AM,0.23,TODAY,8:06 AM,0.74,TODAY,2:12 PM,0.41,TODAY,7:24 PM,0.6,TODAY,-,-,-
1-Jun,-,-,-,1:05 AM,0.31,TODAY,8:12 AM,0.86,TODAY,3:12 PM,0.24,TODAY,9:06 PM,0.52,TODAY,-,-,-
2-Jun,-,-,-,1:07 AM,0.37,TODAY,8:28 AM,1,TODAY,4:06 PM,0.06,TODAY,10:24 PM,0.47,TODAY,-,-,-
3-Jun,-,-,-,1:06 AM,0.41,TODAY,8:51 AM,1.14,TODAY,4:57 PM,-0.09,TODAY,11:48 PM,0.42,TODAY,-,-,-
4-Jun,-,-,-,12:51 AM,0.42,TODAY,9:20 AM,1.27,TODAY,5:48 PM,-0.21,TODAY,TODAY,TODAY,TODAY,-,-,-
5-Jun,9:56 AM,1.37,TODAY,6:41 PM,-0.29,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
6-Jun,10:38 AM,1.43,TODAY,7:36 PM,-0.31,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
7-Jun,11:25 AM,1.45,TODAY,8:33 PM,-0.28,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Jun,12:20 PM,1.42,TODAY,9:30 PM,-0.22,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Jun,1:20 PM,1.34,TODAY,10:23 PM,-0.13,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-Jun,2:22 PM,1.23,TODAY,11:09 PM,-0.02,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-Jun,3:24 PM,1.08,TODAY,11:45 PM,0.1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
12-Jun,7:18 AM,0.64,TODAY,10:12 AM,0.62,TODAY,4:29 PM,0.9,TODAY,-,-,-,-,-,-,-,-,-
13-Jun,-,-,-,12:11 AM,0.22,TODAY,7:09 AM,0.77,TODAY,12:43 PM,0.51,TODAY,5:55 PM,0.72,TODAY,-,-,-
14-Jun,-,-,-,12:27 AM,0.33,TODAY,7:28 AM,0.9,TODAY,2:15 PM,0.36,TODAY,8:00 PM,0.57,TODAY,-,-,-
15-Jun,-,-,-,12:30 AM,0.41,TODAY,7:53 AM,1.03,TODAY,3:30 PM,0.2,TODAY,9:48 PM,0.48,TODAY,-,-,-
16-Jun,-,-,-,12:12 AM,0.45,TODAY,8:21 AM,1.15,TODAY,4:34 PM,0.05,TODAY,-,-,-,-,-,-
17-Jun,8:52 AM,1.23,TODAY,5:27 PM,-0.06,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
18-Jun,9:25 AM,1.29,TODAY,6:13 PM,-0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
19-Jun,10:01 AM,1.32,TODAY,6:56 PM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
20-Jun,10:39 AM,1.33,TODAY,7:37 PM,-0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
21-Jun,11:21 AM,1.31,TODAY,8:18 PM,-0.08,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-Jun,12:04 PM,1.28,TODAY,8:57 PM,-0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-Jun,12:48 PM,1.22,TODAY,9:33 PM,0.-03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
24-Jun,1:31 PM,1.15,TODAY,10:05 PM,0.1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-Jun,2:13 PM,1.05,TODAY,10:30 PM,0.17,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
26-Jun,2:56 PM,0.93,TODAY,10:50 PM,0.24,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
27-Jun,6:18 AM,0.68,TODAY,10:27 AM,0.64,TODAY,3:46 PM,0.78,TODAY,11:03 PM,0.31,TODAY,-,-,-,-,-,-
28-Jun,6:20 AM,0.79,TODAY,12:48 PM,0.53,TODAY,5:03 PM,0.63,TODAY,11:09 PM,0.38,TODAY,-,-,-,-,-,-
29-Jun,6:36 AM,0.91,TODAY,2:12 PM,0.36,TODAY,7:34 PM,0.5,TODAY,11:08 PM,0.43,TODAY,-,-,-,-,-,-
30-Jun,7:00 AM,1.05,TODAY,3:18 PM,0.18,TODAY,9:49 PM,0.45,TODAY,10:48 PM,0.45,TODAY,-,-,-,-,-,-
