12,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
1-Jul,7:32 AM,1.2,TODAY,4:13 PM,0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
2-Jul,8:09 AM,1.34,TODAY,5:05 PM,-0.13,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
3-Jul,8:53 AM,1.45,TODAY,5:54 PM,-0.22,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
4-Jul,9:41 AM,1.53,TODAY,6:44 PM,-0.25,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
5-Jul,10:33 AM,1.56,TODAY,7:33 PM,-0.23,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
6-Jul,11:30 AM,1.54,TODAY,8:21 PM,-0.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
7-Jul,12:29 PM,1.47,TODAY,9:05 PM,-0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Jul,1:26 PM,1.35,TODAY,9:42 PM,0.08,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Jul,4:39 AM,0.57,TODAY,5:33 AM,0.57,TODAY,2:21 PM,1.17,TODAY,10:13 PM,0.22,TODAY,-,-,-,-,-,-
10-Jul,4:46 AM,0.69,TODAY,8:42 AM,0.62,TODAY,3:14 PM,0.96,TODAY,10:34 PM,0.34,TODAY,-,-,-,-,-,-
11-Jul,5:14 AM,0.83,TODAY,11:15 AM,0.56,TODAY,4:18 PM,0.74,TODAY,10:42 PM,0.43,TODAY,-,-,-,-,-,-
12-Jul,5:48 AM,0.96,TODAY,1:15 PM,0.43,TODAY,6:39 PM,0.54,TODAY,10:25 PM,0.49,TODAY,-,-,-,-,-,-
13-Jul,6:27 AM,1.08,TODAY,3:01 PM,0.27,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
14-Jul,7:06 AM,1.18,TODAY,4:13 PM,0.13,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
15-Jul,7:47 AM,1.25,TODAY,5:00 PM,0.02,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
16-Jul,8:27 AM,1.3,TODAY,5:37 PM,-0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
17-Jul,9:07 AM,1.34,TODAY,6:12 PM,-0.06,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
18-Jul,9:48 AM,1.36,TODAY,6:45 PM,-0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
19-Jul,10:30 AM,1.36,TODAY,7:18 PM,0,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
20-Jul,11:13 AM,1.34,TODAY,7:48 PM,0.06,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
21-Jul,11:54 AM,1.29,TODAY,8:15 PM,0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-Jul,12:34 PM,1.22,TODAY,8:39 PM,0.19,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-Jul,3:01 AM,0.54,TODAY,4:39 AM,0.53,TODAY,1:11 PM,1.12,TODAY,8:57 PM,0.26,TODAY,-,-,-,-,-,-
24-Jul,3:16 AM,0.62,TODAY,6:01 AM,0.58,TODAY,1:48 PM,0.99,TODAY,9:09 PM,0.33,TODAY,-,-,-,-,-,-
25-Jul,3:38 AM,0.72,TODAY,8:12 AM,0.61,TODAY,2:27 PM,0.84,TODAY,9:15 PM,0.39,TODAY,-,-,-,-,-,-
26-Jul,4:03 AM,0.82,TODAY,10:36 AM,0.56,TODAY,3:18 PM,0.67,TODAY,9:13 PM,0.43,TODAY,-,-,-,-,-,-
27-Jul,4:31 AM,0.94,TODAY,12:38 PM,0.43,TODAY,5:19 PM,0.5,TODAY,8:57 PM,0.46,TODAY,-,-,-,-,-,-
28-Jul,5:09 AM,1.06,TODAY,2:18 PM,0.26,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
29-Jul,5:55 AM,1.19,TODAY,3:25 PM,0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
30-Jul,6:48 AM,1.32,TODAY,4:16 PM,-0.05,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
31-Jul,7:43 AM,1.44,TODAY,5:02 PM,-0.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
1-Aug,8:39 AM,1.53,TODAY,5:45 PM,-0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
2-Aug,9:37 AM,1.58,TODAY,6:27 PM,-0.16,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
3-Aug,10:36 AM,1.57,TODAY,7:07 PM,-0.08,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
4-Aug,11:35 AM,1.51,TODAY,7:44 PM,0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
5-Aug,1:54 AM,0.52,TODAY,4:09 AM,0.48,TODAY,12:30 PM,1.38,TODAY,8:15 PM,0.18,TODAY,-,-,-,-,-,-
6-Aug,2:11 AM,0.63,TODAY,5:42 AM,0.51,TODAY,1:22 PM,1.2,TODAY,8:39 PM,0.31,TODAY,-,-,-,-,-,-
7-Aug,2:36 AM,0.76,TODAY,7:38 AM,0.52,TODAY,2:12 PM,0.97,TODAY,8:54 PM,0.43,TODAY,-,-,-,-,-,-
8-Aug,3:06 AM,0.88,TODAY,9:35 AM,0.49,TODAY,3:08 PM,0.74,TODAY,8:50 PM,0.5,TODAY,-,-,-,-,-,-
9-Aug,3:45 AM,1,TODAY,11:38 AM,0.41,TODAY,5:10 PM,0.52,TODAY,7:47 PM,0.51,TODAY,-,-,-,-,-,-
10-Aug,4:30 AM,1.08,TODAY,2:03 PM,0.28,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-Aug,5:26 AM,1.15,TODAY,3:30 PM,0.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
12-Aug,6:23 AM,1.2,TODAY,4:14 PM,0.05,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
13-Aug,7:17 AM,1.24,TODAY,4:48 PM,0,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
14-Aug,8:06 AM,1.27,TODAY,5:18 PM,-0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
15-Aug,8:53 AM,1.3,TODAY,5:45 PM,0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
16-Aug,9:38 AM,1.31,TODAY,6:10 PM,0.06,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
17-Aug,10:21 AM,1.3,TODAY,6:34 PM,0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
18-Aug,12:45 AM,0.46,TODAY,2:28 AM,0.45,TODAY,11:03 AM,1.26,TODAY,6:55 PM,0.19,TODAY,-,-,-,-,-,-
19-Aug,12:45 AM,0.52,TODAY,3:37 AM,0.46,TODAY,11:42 AM,1.19,TODAY,7:12 PM,0.26,TODAY,-,-,-,-,-,-
20-Aug,12:59 AM,0.6,TODAY,4:40 AM,0.47,TODAY,12:19 PM,1.09,TODAY,7:24 PM,0.33,TODAY,-,-,-,-,-,-
21-Aug,1:18 AM,0.66,TODAY,5:51 AM,0.47,TODAY,12:56 PM,0.96,TODAY,7:31 PM,0.39,TODAY,-,-,-,-,-,-
22-Aug,1:39 AM,0.78,TODAY,7:17 AM,0.46,TODAY,1:35 PM,0.81,TODAY,7:30 PM,0.43,TODAY,-,-,-,-,-,-
23-Aug,2:02 AM,0.87,TODAY,8:48 AM,0.43,TODAY,2:22 PM,0.65,TODAY,7:21 PM,0.45,TODAY,-,-,-,-,-,-
24-Aug,2:30 AM,0.91,TODAY,10:27 AM,0.36,TODAY,3:48 PM,0.48,TODAY,6:54 PM,0.45,TODAY,-,-,-,-,-,-
25-Aug,3:07 AM,1.06,TODAY,12:29 PM,0.25,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
26-Aug,4:00 AM,1.15,TODAY,2:15 PM,0.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
27-Aug,5:09 AM,1.24,TODAY,3:14 PM,-0.02,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
28-Aug,6:21 AM,1.33,TODAY,3:59 PM,-0.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
29-Aug,7:29 AM,1.41,TODAY,4:39 PM,?0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
30-Aug,8:33 AM,1.46,TODAY,5:15 PM,-0.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
31-Aug,9:37 AM,1.46,TODAY,5:49 PM,-0.02,TODAY,11:58 PM,0.5,TODAY,-,-,-,-,-,-,-,-,-
1-Sep,-,-,-,2:34 AM,0.43,TODAY,10:38 AM,1.41,TODAY,6:18 PM,0.1,TODAY,-,-,-,-,-,-
2-Sep,12:06 AM,0.59,TODAY,3:57 AM,0.39,TODAY,11:34 AM,1.29,TODAY,6:43 PM,0.24,TODAY,-,-,-,-,-,-
3-Sep,12:24 AM,0.71,TODAY,5:21 AM,0.35,TODAY,12:27 PM,1.11,TODAY,7:02 PM,0.37,TODAY,-,-,-,-,-,-
4-Sep,12:48 AM,0.84,TODAY,6:45 AM,0.32,TODAY,1:18 PM,0.9,TODAY,7:09 PM,0.46,TODAY,-,-,-,-,-,-
5-Sep,1:15 AM,0.95,TODAY,8:11 AM,0.29,TODAY,2:15 PM,0.67,TODAY,6:51 PM,0.51,TODAY,-,-,-,-,-,-
6-Sep,1:49 AM,1.04,TODAY,9:45 AM,0.26,TODAY,4:17 PM,0.47,TODAY,5:00 PM,0.47,TODAY,-,-,-,-,-,-
7-Sep,2:29 AM,1.09,TODAY,11:48 AM,0.2,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Sep,3:20 AM,1.11,TODAY,1:55 PM,0.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Sep,4:27 AM,1.11,TODAY,2:58 PM,0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-Sep,5:40 AM,1.11,TODAY,3:36 PM,0,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-Sep,6:45 AM,1.12,TODAY,4:06 PM,0,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
12-Sep,7:43 AM,1.14,TODAY,4:31 PM,0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
13-Sep,8:36 AM,1.15,TODAY,4:54 PM,0.08,TODAY,11:31 PM,0.47,TODAY,TODAY,TODAY,TODAY,-,-,-,-,-,-
14-Sep,-,-,-,1:08 AM,0.46,TODAY,9:24 AM,1.14,TODAY,5:13 PM,0.14,TODAY,11:12 PM,0.51,TODAY,-,-,-
15-Sep,-,-,-,2:31 AM,0.42,TODAY,10:10 AM,1.1,TODAY,5:30 PM,0.21,TODAY,11:15 PM,0.58,TODAY,-,-,-
16-Sep,-,-,-,3:34 AM,0.37,TODAY,10:53 AM,1.04,TODAY,5:42 PM,0.28,TODAY,11:27 PM,0.67,TODAY,-,-,-
17-Sep,-,-,-,4:35 AM,0.33,TODAY,11:34 AM,0.95,TODAY,5:50 PM,0.35,TODAY,11:43 PM,0.76,TODAY,-,-,-
18-Sep,-,-,-,5:36 AM,0.28,TODAY,12:15 PM,0.83,TODAY,5:51 PM,0.4,TODAY,-,-,-,-,-,-
19-Sep,12:01 AM,0.85,TODAY,6:38 AM,0.23,TODAY,12:58 PM,0.7,TODAY,5:46 PM,0.43,TODAY,-,-,-,-,-,-
20-Sep,12:22 AM,0.94,TODAY,7:42 AM,0.19,TODAY,1:50 PM,0.55,TODAY,5:36 PM,0.43,TODAY,-,-,-,-,-,-
21-Sep,12:48 AM,1.02,TODAY,8:53 AM,0.14,TODAY,3:17 PM,0.42,TODAY,5:04 PM,0.41,TODAY,-,-,-,-,-,-
22-Sep,1:23 AM,1.09,TODAY,10:19 AM,0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-Sep,2:09 AM,1.13,TODAY,12:15 PM,0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
24-Sep,3:16 AM,1.16,TODAY,1:45 PM,-0.05,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-Sep,4:42 AM,1.19,TODAY,2:40 PM,-0.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
26-Sep,6:05 AM,1.22,TODAY,3:21 PM,-0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
27-Sep,7:21 AM,1.24,TODAY,3:55 PM,-0.07,TODAY,10:43 PM,0.49,TODAY,-,-,-,-,-,-,-,-,-
28-Sep,-,-,-,12:36 AM,0.47,TODAY,8:32 AM,1.23,TODAY,4:24 PM,0.02,TODAY,10:30 PM,0.55,TODAY,-,-,-
29-Sep,-,-,-,2:20 AM,0.37,TODAY,9:39 AM,1.18,TODAY,4:50 PM,0.13,TODAY,10:39 PM,0.66,TODAY,-,-,-
30-Sep,-,-,-,3:38 AM,0.26,TODAY,10:40 AM,1.08,TODAY,5:09 PM,0.26,TODAY,10:56 PM,0.79,TODAY,-,-,-
1-Oct,-,-,-,4:49 AM,0.16,TODAY,11:36 AM,0.92,TODAY,5:21 PM,0.38,TODAY,11:18 PM,0.93,TODAY,-,-,-
2-Oct,-,-,-,5:57 AM,0.08,TODAY,12:30 PM,0.74,TODAY,5:19 PM,0.45,TODAY,11:44 PM,1.03,TODAY,-,-,-
3-Oct,-,-,-,7:06 AM,0.03,TODAY,1:32 PM,0.55,TODAY,4:53 PM,0.46,TODAY,-,-,-,-,-,-
4-Oct,12:15 AM,1.1,TODAY,8:17 AM,0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
5-Oct,12:50 AM,1.12,TODAY,9:39 AM,0,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
6-Oct,1:31 AM,1.11,TODAY,11:21 AM,-0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
7-Oct,2:24 AM,1.06,TODAY,12:57 PM,-0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Oct,3:36 AM,1.01,TODAY,1:56 PM,-0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Oct,4:54 AM,0.98,TODAY,2:34 PM,-0.02,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-Oct,6:06 AM,0.95,TODAY,3:03 PM,0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-Oct,7:12 AM,0.93,TODAY,3:26 PM,0.06,TODAY,10:15 PM,0.5,TODAY,-,-,-,-,-,-,-,-,-
12-Oct,-,-,-,1:15 AM,0.45,TODAY,8:14 AM,0.91,TODAY,3:45 PM,0.13,TODAY,9:58 PM,0.55,TODAY,-,-,-
13-Oct,-,-,-,2:30 AM,0.36,TODAY,9:12 AM,0.87,TODAY,3:59 PM,0.2,TODAY,10:00 PM,0.64,TODAY,-,-,-
14-Oct,-,-,-,3:27 AM,0.27,TODAY,10:03 AM,0.81,TODAY,4:08 PM,0.27,TODAY,10:10 PM,0.73,TODAY,-,-,-
15-Oct,-,-,-,4:18 AM,0.17,TODAY,10:51 AM,0.74,TODAY,4:12 PM,0.33,TODAY,10:24 PM,0.83,TODAY,-,-,-
16-Oct,-,-,-,5:09 AM,0.07,TODAY,11:37 AM,0.64,TODAY,4:09 PM,0.38,TODAY,10:42 PM,0.93,TODAY,-,-,-
17-Oct,-,-,-,6:00 AM,-0.02,TODAY,12:26 PM,0.54,TODAY,4:03 PM,0.39,TODAY,11:03 PM,1.02,TODAY,-,-,-
18-Oct,-,-,-,6:53 AM,-0.08,TODAY,1:26 PM,0.43,TODAY,3:53 PM,0.38,TODAY,11:30 PM,1.09,TODAY,-,-,-
19-Oct,-,-,-,7:49 AM,-0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
20-Oct,12:03 AM,1.14,TODAY,8:54 AM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
21-Oct,12:45 AM,1.15,TODAY,10:15 AM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-Oct,1:39 AM,1.14,TODAY,11:49 AM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-Oct,2:56 AM,1.11,TODAY,1:01 PM,-0.15,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
24-Oct,4:27 AM,1.07,TODAY,1:51 PM,-0.12,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-Oct,5:51 AM,1.02,TODAY,2:27 PM,-0.05,TODAY,9:29 PM,0.51,TODAY,-,-,-,-,-,-,-,-,-
26-Oct,-,-,-,12:16 AM,0.47,TODAY,7:15 AM,0.97,TODAY,2:54 PM,0.04,TODAY,9:15 PM,0.6,TODAY,-,-,-
27-Oct,-,-,-,2:01 AM,0.33,TODAY,8:36 AM,0.9,TODAY,3:17 PM,0.16,TODAY,9:24 PM,0.73,TODAY,-,-,-
28-Oct,-,-,-,3:13 AM,0.17,TODAY,9:47 AM,0.8,TODAY,3:32 PM,0.27,TODAY,9:41 PM,0.87,TODAY,-,-,-
29-Oct,-,-,-,4:15 AM,0.02,TODAY,10:49 AM,0.68,TODAY,3:38 PM,0.36,TODAY,10:03 PM,1,TODAY,-,-,-
30-Oct,-,-,-,5:15 AM,-0.1,TODAY,11:49 AM,0.55,TODAY,3:30 PM,0.4,TODAY,10:29 PM,1.1,TODAY,-,-,-
31-Oct,-,-,-,6:14 AM,-0.18,TODAY,1:00 PM,0.41,TODAY,3:01 PM,0.39,TODAY,10:59 PM,1.16,TODAY,-,-,-
1-Nov,-,-,-,7:13 AM,-0.22,TODAY,11:33 PM,1.17,TODAY,-,-,-,-,-,-,-,-,-
2-Nov,-,-,-,8:15 AM,-0.22,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
3-Nov,12:11 AM,1.14,TODAY,9:23 AM,-0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
4-Nov,12:55 AM,1.08,TODAY,10:36 AM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
5-Nov,1:49 AM,1.01,TODAY,11:47 AM,-0.1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
6-Nov,2:54 AM,0.93,TODAY,12:40 PM,-0.06,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
7-Nov,4:04 AM,0.85,TODAY,1:18 PM,-0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Nov,5:15 AM,0.78,TODAY,1:45 PM,0.05,TODAY,9:22 PM,0.51,TODAY,-,-,-,-,-,-,-,-,-
9-Nov,-,-,-,12:51 AM,0.46,TODAY,6:29 AM,0.7,TODAY,2:06 PM,0.11,TODAY,8:53 PM,0.58,TODAY,-,-,-
10-Nov,-,-,-,2:09 AM,0.34,TODAY,7:52 AM,0.64,TODAY,2:19 PM,0.18,TODAY,8:53 PM,0.67,TODAY,-,-,-
11-Nov,-,-,-,3:03 AM,0.21,TODAY,9:06 AM,0.58,TODAY,2:27 PM,0.25,TODAY,9:02 PM,0.78,TODAY,-,-,-
12-Nov,-,-,-,3:51 AM,0.06,TODAY,10:06 AM,0.52,TODAY,2:27 PM,0.31,TODAY,9:16 PM,0.89,TODAY,-,-,-
13-Nov,-,-,-,4:36 AM,-0.07,TODAY,11:01 AM,0.46,TODAY,2:24 PM,0.34,TODAY,9:35 PM,1,TODAY,-,-,-
14-Nov,-,-,-,5:22 AM,-0.19,TODAY,11:59 AM,0.39,TODAY,2:18 PM,0.34,TODAY,9:58 PM,1.1,TODAY,-,-,-
15-Nov,-,-,-,6:10 AM,-0.28,TODAY,1:27 PM,0.32,TODAY,1:50 PM,0.32,TODAY,10:27 PM,1.17,TODAY,-,-,-
16-Nov,-,-,-,7:01 AM,-0.33,TODAY,11:02 PM,0.06,TODAY,-,-,-,-,-,-,-,-,-
17-Nov,-,-,-,7:56 AM,-0.34,TODAY,11:44 PM,1.22,TODAY,-,-,-,-,-,-,-,-,-
18-Nov,-,-,-,8:58 AM,-0.31,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
19-Nov,12:33 AM,1.19,TODAY,10:07 AM,-0.27,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
20-Nov,1:35 AM,1.12,TODAY,11:15 AM,-0.21,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
21-Nov,2:50 AM,1.02,TODAY,12:08 PM,-0.13,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-Nov,4:10 AM,0.91,TODAY,12:48 PM,-0.04,TODAY,8:24 PM,0.52,TODAY,11:27 PM,0.48,TODAY,-,-,-,-,-,-
23-Nov,5:36 AM,0.78,TODAY,1:17 PM,0.07,TODAY,8:03 PM,0.63,TODAY,-,-,-,-,-,-,-,-,-
24-Nov,-,-,-,1:28 AM,0.33,TODAY,7:00 AM,0.65,TODAY,1:37 PM,0.18,TODAY,8:14 PM,0.77,TODAY,-,-,-
25-Nov,-,-,-,2:42 AM,0.14,TODAY,8:54 AM,0.55,TODAY,1:48 PM,0.27,TODAY,8:34 PM,0.91,TODAY,-,-,-
26-Nov,-,-,-,3:45 AM,-0.04,TODAY,10:11 AM,0.46,TODAY,1:46 PM,0.33,TODAY,8:59 PM,1.04,TODAY,-,-,-
27-Nov,-,-,-,4:42 AM,-0.18,TODAY,11:26 AM,0.37,TODAY,1:30 PM,0.34,TODAY,9:27 PM,1.14,TODAY,-,-,-
28-Nov,-,-,-,5:36 AM,-0.29,TODAY,9:59 PM,1.2,TODAY,-,-,-,-,-,-,-,-,-
29-Nov,-,-,-,6:28 AM,-0.34,TODAY,10:33 PM,1.21,TODAY,-,-,-,-,-,-,-,-,-
30-Nov,-,-,-,7:19 AM,-0.34,TODAY,11:12 PM,1.19,TODAY,-,-,-,-,-,-,-,-,-
1-Dec,-,-,-,8:09 AM,-0.31,TODAY,11:53 PM,1.14,TODAY,-,-,-,-,-,-,-,-,-
2-Dec,-,-,-,9:01 AM,-0.25,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
3-Dec,12:39 AM,1.07,TODAY,9:52 AM,-0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
4-Dec,1:27 AM,0.98,TODAY,12:40 AM,-0.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
5-Dec,2:18 AM,0.88,TODAY,11:20 AM,-0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
6-Dec,3:12 AM,0.76,TODAY,11:50 AM,0.03,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
7-Dec,4:12 AM,0.63,TODAY,12:11 PM,0.1,TODAY,7:47 PM,0.56,TODAY,-,-,-,-,-,-,-,-,-
8-Dec,-,-,-,1:16 AM,0.39,TODAY,5:33 AM,0.5,TODAY,12:24 PM,0.17,TODAY,7:40 PM,0.66,TODAY,-,-,-
9-Dec,-,-,-,2:24 AM,0.24,TODAY,7:40 AM,0.4,TODAY,12:29 PM,0.24,TODAY,7:50 PM,0.77,TODAY,-,-,-
10-Dec,-,-,-,3:17 AM,0.07,TODAY,9:18 AM,0.35,TODAY,12:27 PM,0.28,TODAY,8:07 PM,0.9,TODAY,-,-,-
11-Dec,-,-,-,4:03 AM,-0.1,TODAY,10:36 AM,0.31,TODAY,12:20 PM,0.3,TODAY,8:30 PM,1.02,TODAY,-,-,-
12-Dec,-,-,-,4:48 AM,-0.25,TODAY,8:59 PM,1.14,TODAY,-,-,-,-,-,-,-,-,-
13-Dec,-,-,-,5:33 AM,-0.36,TODAY,9:33 PM,1.23,TODAY,-,-,-,-,-,-,-,-,-
14-Dec,-,-,-,6:19 AM,-0.43,TODAY,10:12 PM,1.29,TODAY,-,-,-,-,-,-,-,-,-
15-Dec,-,-,-,7:09 AM,-0.44,TODAY,10:57 PM,1.31,TODAY,-,-,-,-,-,-,-,-,-
16-Dec,-,-,-,8:00 AM,-0.41,TODAY,11:48 PM,1.28,TODAY,-,-,-,-,-,-,-,-,-
17-Dec,-,-,-,8:53 AM,-0.34,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
18-Dec,12:42 AM,1.2,TODAY,9:44 AM,-0.25,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
19-Dec,1:42 AM,1.08,TODAY,10:29 AM,-0.13,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
20-Dec,2:43 AM,0.92,TODAY,11:05 AM,-0.01,TODAY,6:34 PM,0.49,TODAY,9:22 PM,0.47,TODAY,-,-,-,-,-,-
21-Dec,3:50 AM,0.72,TODAY,11:31 AM,0.11,TODAY,6:31 PM,0.62,TODAY,-,-,-,-,-,-,-,-,-
22-Dec,-,-,-,12:24 AM,0.36,TODAY,5:23 AM,0.52,TODAY,11:46 AM,0.21,TODAY,6:54 PM,0.77,TODAY,-,-,-
23-Dec,-,-,-,2:04 AM,0.36,TODAY,7:55 AM,0.37,TODAY,11:45 AM,0.28,TODAY,7:24 PM,0.91,TODAY,-,-,-
24-Dec,-,-,-,3:21 AM,-0.01,TODAY,10:10 AM,0.31,TODAY,11:11 AM,0.3,TODAY,7:56 PM,1.03,TODAY,-,-,-
25-Dec,-,-,-,4:21 AM,-0.17,TODAY,8:30 PM,1.12,TODAY,-,-,-,-,-,-,-,-,-
26-Dec,-,-,-,5:12 AM,-0.29,TODAY,9:07 PM,1.18,TODAY,-,-,-,-,-,-,-,-,-
27-Dec,-,-,-,5:56 AM,-0.35,TODAY,9:45 PM,1.21,TODAY,-,-,-,-,-,-,-,-,-
28-Dec,-,-,-,6:37 AM,-0.36,TODAY,10:24 PM,1.21,TODAY,-,-,-,-,-,-,-,-,-
29-Dec,-,-,-,7:17 AM,-0.33,TODAY,11:06 PM,1.18,TODAY,-,-,-,-,-,-,-,-,-
30-Dec,-,-,-,7:55 AM,-0.27,TODAY,11:48 PM,1.13,TODAY,-,-,-,-,-,-,-,-,-
31-Dec,-,-,-,8:32 AM,-0.2,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
